楼盘名, 详细链接, 所属区, 详细地址,价格,单位,优惠,开盘时间
英伦华府,http://yinglunhuafu0517.fang.com/villa/,开发区,迎宾大道与合肥路交汇处南200米,4300,元/平方米,全款97折,2013年12月28日推19#、20#楼高层
金发豪苑,http://jinfahaoyuan0517.fang.com/,清河区,淮航路南侧、规划发展路西侧、市电视台广播电视大楼北侧,7700,元/平方米,全款97按揭98,2013年9月12日1-3号楼已开盘
新兴和苑,http://xinxingheyuan.fang.com/,清浦区,枚乘西路98号,3400,元/平方米,全款96按揭97,2013年5月1日一期已开盘
悦活城,http://yuehuocheng.fang.com/,开发区,深圳路北侧、经三路西侧,18000,元/平方米,无,2014-11
天和豪庭,http://tianhehaoting.fang.com/,淮阴区,长江东路38号,4500,元/平方米,特价房,2014年7月21日加推C4#楼
正中尚品,http://zhengzhongshangpin.fang.com/,开发区,迎宾大道19号,4500,元/平方米,特价房3580元,2012年8月7号楼已开盘
红杉墅,http://hongshanshu0517.fang.com/,开发区,深圳路与福州路交汇处,7000,元/平方米,138万/套,预计2015年4月开盘
永泰家园,http://yongtaijiayuan.fang.com/,清河区,青年路17号（西安路与青年路交叉口）,4600,元/平方米,4088元/㎡起,2014年1月25日加推高层16-17#楼
如意里,http://ruyili0517.fang.com/,淮安区,梁红玉路20号（经九路东侧、纬八路北侧）,5100,元/平方米,总价减5千,2013年10月06日开1#5#6#楼
龙凤旺万家,http://longfengwangwanjia.fang.com/,淮阴区,珠江路与香港路交汇处,16000,元/平方米,减2万-5万,预计2015年5月5#楼加推
润城一品,http://runchengyipin.fang.com/,清浦区,北京南路和解放西路交汇处,4100,元/平方米,全款8.8按揭9,2014年11月28日1#、2#楼首开
英伦玫瑰园,http://newhouse.huaian.fang.com/house/1826655578.htm,清浦区,淮海南路301号,5000,元/平方米,交10万减1万,2014年2月开9#17#60#楼
大胜广厦,http://dashengguangsha.fang.com/,开发区,青岛路23号（合肥路与青岛路交界处）,4200,元/平方米,特价房3088,2012年3月1日4号楼5号楼已开盘
九升国际商业广场,http://jiushengguojishangyeguangchang.fang.com/,淮安区,镇淮楼东路与东长街交汇处（原江淮旅社地块）,30000,元/平方米,全款96按揭98,2014年12月20日第2次加推
中央府邸,http://zhongyangfudi.fang.com/,淮安区,楚州大道488号（金陵名府对面）,5000,元/平方米,全款96按揭98,2014-6-1开5号楼共116套
海洲铂兰庭,http://bolantinghz.fang.com/,开发区,淮海西路165号（市三院对面）,4200,元/平方米,交500抵2万,2014年5月1日二期加推11#20#21#
中环国际广场,http://zhonghuanguojiguangchang0517.fang.com/,清河区,淮海西路93号,30000,元/平方米,商铺按揭98折,2013-6-22
金汇花园,http://jinhuihuayuan0517.fang.com/,开发区,淮海西路177号,4300,元/平方米,一成首付,2014年3月9日1#2#楼已开盘
天生赢家,http://tianshengyingjia.fang.com/,开发区,富誉路8号（富士康路以南，康马路以东，富誉路以北）,3500,元/平方米,购房送蚕丝被,2010年9月11日5-8#已开盘
壹品城邦,http://yipinchengbang.fang.com/,淮阴区,九江东路10号（华侨新苑小区东侧九江路南侧）,4500,元/平方米,总价减5000,2014年4月26日加推1#2#楼
淮海第一城,http://newhouse.huaian.fang.com/house/1826657786.htm,清河区,淮海东路126号,8400,元/平方米,97折,2012年12月8日一期开盘
金色阳光城,http://jinseyangguang0517.fang.com/,开发区,天津路与正大路交汇处（天津路东侧，正大路南侧）,4800,元/平方米,2万抵3万,2014年4月26加推15#楼
中熙凤凰城,http://fenghuangchengzx.fang.com/,淮阴区,长江东路36号（淮阴区区政府斜对面）,4650,元/平方米,优惠4万元,2014年10月1日加推18号楼
米兰花园,http://milanhuayuan0517.fang.com/,开发区,青岛路北侧、合肥路西侧,3800,元/平方米,特价房3188元,2014年9月加推9#楼
淮安人家,http://huaianrenjia.fang.com/,淮安区,翔宇大道北侧、康马路西侧,4800,元/平方米,全款93折,2013-8-20
幸福美地,http://xingfumeidi0517.fang.com/,开发区,大学城明远东路6号,4300,元/平方米,交2000抵一万,预计2015年10月首开
香水郡,http://xiangshuijun.fang.com/,开发区,汕头路6号（韩泰南路与汕头路交汇处）,4400,元/平方米,一口价3180元,2014年1月26日12号楼加推
国华御翠园,http://yucuiyuangh.fang.com/,淮阴区,曙光路西侧，樱花路南侧，市地税局东侧,5380,元/平方米,商铺减500/平,2014年4月12日推3期B3、B7、B8#
凯旋宫,http://kaixuangong0517.fang.com/,开发区,厦门路28号（翔宇大道与青岛路路交汇处）,4300,元/平方米,全款96折,2014年8月10日一期8#9#楼首开
淮安帝景蓝湾,http://dijinglanwan2.fang.com/,淮阴区,淮阴区承德北路605号（淮阴区政府东侧）,5400,元/平方米,特价3969/平,2014年7月18日加推13号18号27号
叶与城,http://yeyucheng.fang.com/,清河区,古河口大街8号,5000,元/平方米,全款98折,2013年10月27日加推5号楼
中央华府,http://zhongyanghuafu0517.fang.com/,清浦区,北京南路与明远路交汇处,3800,元/平方米,特价3428/平,2015-4-10
天润翠璟,http://tianruncuijing.fang.com/,清河区,健康西路73号（富丽花园斜对面）,5400,元/平方米,优惠5万左右,2013年1月19日加推3#楼
金凤梧桐华苑,http://wutonghuayuanjf.fang.com/,清浦区,延安西路7号。,4000,元/平方米,交5千抵1万,2014年11月29日1#、2#楼开盘
金辉城,http://jinhuicheng.fang.com/villa/,清河区,水渡口大道北转曦园街1公里,10000,元/平方米,全款97按揭98,2014年1月二期32套别墅加推
叶语香澜,http://yeyuxianglan.fang.com/,清河区,清河新区旺旺路南侧，景秀路西侧,7000,元/平方米,全款98折,2014年5月加推40套别墅
一品国际,http://yipinguoji.fang.com/,淮安区,楚州大道与永怀路交叉口,5150,元/平方米,总价减3880元,2013年12月第一次加推
红豆国际城,http://guojishangwuchenghd.fang.com/,开发区,红豆路1号,3700,元/平方米,按揭99全款98,2011年11月16日二期17号楼已开盘
东湖怡景苑,http://donghuyijingyuan.fang.com/,开发区,大连路11号,4300,元/平方米,全款93折,2014年10月底三期景园开盘
七星水岸,http://qixingshuian.fang.com/,开发区,深圳东路北侧，宁连一级公路西侧,4300,元/平方米,交2万抵5万,2014年1月19日12#17#8#楼首开
恒通大厦,http://hengtongdasha0517.fang.com/,淮阴区,淮阴区北京北路鑫源宾馆南侧,5000,元/平方米,全款97按揭99,2013年10年19日一期开盘
东城江南,http://dongchengjiangnan.fang.com/villa/,开发区,合肥南路58号,7700,元/平方米,全款96折,2013年5月24日第三次加推
锦绣山阳,http://jinxiushanyang.fang.com/,淮安区,楚州大道东侧、237省道北侧（原交警大队地铁）,5000,元/平方米,全款96按揭98,2011年10月18日首次开盘
皇冠国际,http://hairunfengjing.fang.com/,淮安区,翔宇大道与楚州大道交汇处,4700,元/平方米,按揭减30/平,2014年8月1日一期已开盘
银河湾,http://newhouse.huaian.fang.com/house/1826658144.htm,淮阴区,承德北路598号（淮阴区政府南面）,4400,元/平方米,全款95按揭97,2014年7月加推
恒荣国际广场,http://hengrongguojiguangchang.fang.com/,清河区,淮海北路105号 （淮海北路与健康东路交叉口）,9000,元/平方米,94折,2014年4月16日开盘
九龙湖金泽苑,http://jinzeyuan0517.fang.com/,开发区,正大路99号,4200,元/平方米,首付3万8,2014年6月21日加推
洪福小区三期,http://hongfuxiaoqu0517.fang.com/3/,清河区,水渡口大道50号,4000,元/平方米,全款95折,2013年6月29日一期已开盘
城置公园龙湾,http://gongyuanlongwancz.fang.com/,开发区,天津路88号（天津路大桥与正大路交汇处）,4200,元/平方米,首付5万起,2012年6月30日加推7#楼
金吉华冠苑,http://jinjihuaguanyuan.fang.com/,清浦区,延安东路南侧，石桥路西侧,,,无,2015-7月初
鼎泰公馆,http://dingtaigongguan.fang.com/,淮阴区,南昌路608号（纬五路与南昌路交汇处）,3700,元/平方米,日进百金,预计2015年7月底推22#楼高层
淮安苏宁生活广场,http://suningshenghuoguangchangha.fang.com/,清河区,淮海东路158号（淮海广场转盘东北侧）,11000,元/平方米,2万抵5万,2013年9月20日首次开盘
富仕佳苑,http://fushijiayuan0517.fang.com/,开发区,迎宾大道南侧、鸿海路东侧,3580,元/平方米,全款98按揭99,
法兰郡,http://falanjun.fang.com/,清浦区,北京南路与枚乘路交汇处(阳光湖南岸）,6500,元/平方米,按揭98全款95,2015年1月25开盘一期
秦汉华府,http://qinhanhuafu.fang.com/,淮安区,永怀东路与梁红玉路交汇处,4800,元/平方米,全款98按揭99,2015年1月开5#6#
邦德云鼎,http://yundingbd.fang.com/,淮阴区,淮阴区淮海路149-8号（淮海北路与大同路交汇处）,6750,元/平方米,无,2014年1月11日首期开盘
清江华府,http://newhouse.huaian.fang.com/house/1826658186.htm,清浦区,新民东路1号,,,交2万抵3万,预计2013年11月
京河湾公寓,http://jinghewangongyu.fang.com/,清浦区,北京南路78号柯山路口（清浦大桥南100米）,4000,元/平方米,全款97按揭98,2010年9月6日首次开盘
淮海青年城,http://huaihaiqingniancheng.fang.com/,开发区,韩泰路和汕头路交汇处,4200,元/平方米,全款95折,2014年12月9#10#11#楼已开盘
金满华府,http://jinmanhuafu.fang.com/,清浦区,淮海南路178号,4300,元/平方米,全款85按揭88,2014年1月22日一期已开盘
四季金辉,http://sijijinhui.fang.com/,清浦区,淮海南路198号（淮安日报社北侧）,4100,元/平方米,3760元/㎡起,2014年3月加推3#楼
金域华府,http://jinyuhuafu0517.fang.com/,清河区,越秀路1号（淮安国际会展中心后面）,6400,元/平方米,交6千抵6万,2014年5月18日8#9#首次开盘
清江人家,http://qingjiangrenjia.fang.com/,清浦区,淮海南路167号（淮海南路东侧、延安东路南侧、徐家湖路西侧）,5600,元/平方米,全款98按揭99,2014年9月加推2#楼
梧桐公馆,http://wutonggongguan0517.fang.com/,清河区,枚皋东路88号（新淮阴中学南侧）,5400,元/平方米,全款98折,2015年4月已加推13#14#楼
郁金蓝湾,http://yujinlanwanyuntong.fang.com/,开发区,正大路北侧、天津路东侧,3800,元/平方米,2千抵1万,2014年4月13日加推5#楼
大湖城邦花苑,http://newhouse.huaian.fang.com/house/1826658220.htm,开发区,深圳路与合肥路交界处,3700,元/平方米,全款96按揭98,2012年10月份一期开盘
万邦金地花园,http://jindihuayuanwb.fang.com/,淮阴区,长江东路105号（长江东路与承德路交汇处向东300米）,4300,元/平方米,总价减5万,2014年11月21日加推
荷湖星城,http://hehuxingcheng.fang.com/,淮安区,北门大街1号（北门大街与翔宇大道交汇处向南100米）,4800,元/平方米,1千抵1万,2014年8月24日加推5#6#
维科皇家花园,http://huangjiahuayuanwkha.fang.com/,清浦区,延安东路77号（市人防大厦对面）,8000,元/平方米,全款9折,2012年8月28日第二次加推
中天华庭,http://zhongtianhuating0517.fang.com/,清河区,清河路16号（上海路与清河路交汇处）,5500,元/平方米,全款97折,2014年12月24日第二次加推
淮安悦达广场,http://yuedaguangchangha.fang.com/,开发区,翔宇大道东侧，深圳路北侧,5500,元/平方米,全款98折,2014年11月15日加推一期3号楼
颐高广场,http://newhouse.huaian.fang.com/house/1827044086.htm,清河区,漕运东路北侧、淮海北路东侧,,,交5千抵1万,2014-8
御景城,http://yujingcheng.fang.com/,淮安区,楚涟路东侧,5750,元/平方米,总价减5000,2014-5-28二期1#2#4#5#8#11#楼
蓝庭印象,http://lantingyinxiang.fang.com/,淮阴区,淮阴区南昌路4号（樱花路与南昌路交汇处）,5600,元/平方米,清盘中,2012年10月1日加推
亚特蓝郡,http://yatelanjun.fang.com/,淮安区,长途汽车站南侧,5000,元/平方米,按揭减150/㎡,2013年5月10日一期已开盘
祥和至尊,http://xianghezhizun.fang.com/,开发区,西安北路与上海西路交汇处（锦绣国际装饰城正后面）,4600,元/平方米,一万抵一万,2015年5月15日加推5号楼11号楼
建滔裕花园,http://yuhuayuanjt.fang.com/,开发区,迎宾大道北侧、翔宇大道东侧,4500,元/平方米,交1千抵3万,预计2015年4月30日开盘
喜利达名苑,http://xilidamingyuan.fang.com/,淮阴区,南昌路与黄河路交汇处,5850,元/平方米,特价4158/平,2014年1月加推20-26#31#32#
友创南门尚城,http://nanmenshangchengyc.fang.com/,清浦区,解放西路100号（城南体育场西对面、一中东面）,5400,元/平方米,全款96折,2014年5月10日首开1#2#3#5#楼
亿源国际花园,http://guojihuayuanyy.fang.com/,淮安区,府前路11号（礼字坝翔宇大道北侧、府前路与淮恩路交汇处）,4500,元/平方米,交1万抵2万,2014年1月3#已开盘
亲爱的Town,http://changdaoyishuha.fang.com/,清河区,古淮河公园（河畔路28号）,4000,元/平方米,全款96按揭97,2011年5月1日首次开盘
旺江壹品,http://wangjiangyipin.fang.com/,开发区,明远路与通甫路交界处（实小集团天津路小学向东300米）,4400,元/平方米,全款98折,2014年2月9日第三次加推
巨一首府,http://juyishoufu.fang.com/,清河区,淮海西路109号（淮海西路与清河路交界处）,5700,元/平方米,5388元/㎡起,2013年10月1日2号楼3号楼加推
德汇公馆,http://dehuigongguan.fang.com/,淮阴区,樱花路,4950,元/平方米,交1万抵2万,2012年6月22日加推
悦城,http://yuecheng0517.fang.com/,淮阴区,黄河东路与南昌路交汇处向东100米,6000,元/平方米,交1万抵2万,2015-6-6
信达名府,http://xindamingfu.fang.com/,清河区,北京北路168号,4800,元/平方米,全款97按揭98,2014年11月2日加推4#楼
汇金豪庭,http://huijinhaoting.fang.com/,开发区,深圳路1-1号（深圳路与翔宇大道交汇处）,5300,元/平方米,特价房一口价,2013年5月2号楼加推
翰香美地,http://hanxiangmeidi.fang.com/,清河区,水渡口大道北侧浩源汽车城对面,5000,元/平方米,购房减1万5,2015年2月中旬加推11#楼
海洲朗郡,http://haizhoulangjun.fang.com/,清浦区,前进东路欧洲城沿街商业18-6号(延安路与航运路交汇处),4700,元/平方米,按揭98折,5月加推15,16#两栋高层共计234套
宙辉国际花园,http://zhouhuiguojihuayuanjl.fang.com/,淮安区,翔宇大道与楚州大道交汇处,4000,元/平方米,折后均价4700,2014年11月推8#120套
清城创意谷,http://chuangyiguqc.fang.com/,清河区,清河新区英才街8号,3700,元/平方米,购房立减一万,2015年5月26号开盘
香榭丽花苑,http://newhouse.huaian.fang.com/house/1826658340.htm,开发区,迎宾大道27号,3475,元/平方米,按揭94折,2011年月21日五期已开盘
奥体国际星城,http://aotiguojixingcheng.fang.com/,淮阴区,淮海北路565号（淮河路南侧淮海路东侧）,4200,元/平方米,交5千抵2万,2015年2月11日加推8#12#
东湖锦绣,http://donghujinxiu.fang.com/,开发区,北靠迎宾大道（原海口路），东临苏州街， 南接淮安汽车东站,3300,元/平方米,按揭99折,2015年1月开4#8#14-16#楼
中茵翰城广场,http://hanchengguangchangzy.fang.com/,开发区,天津路33号,3650,元/平方米,全款98按揭99,2014年6月21日加推6-7#楼
中科碧水豪庭,http://bishuihaotingzk.fang.com/,清河区,珠海路北侧，杭州路东侧,4500,元/平方米,购房97折优惠,2013年12月12日2-7号楼已开盘
金禾华府,http://jinhehuafu.fang.com/,开发区,厦门路2号（厦门路与南昌路交汇处）,4500,元/平方米,享87折优惠,2014年1月加推1#2#楼
东城阳光府邸,http://newhouse.huaian.fang.com/house/1826572102.htm,开发区,广州北路2号,3500,元/平方米,交1万抵4万,2010年12月23日1-3#已经开盘
瑞安花园,http://ruianhuayuan.fang.com/,淮阴区,承德北路608号（承德路西侧九江路南侧）,4200,元/平方米,总价减2.7万,2015年5月16日首开7#11#
红星国际广场,http://hongxingguojiguangchang0517.fang.com/,清浦区,淮海南路156号,5300,元/平方米,全款95按揭97,2015年2月2日一期2#楼开盘
星雨华府,http://xingyuhuafu0517.fang.com/,清河区,生态新城枚皋中路与承恩大道交汇处（新市府东南侧）,4600,元/平方米,交1万抵3万,2015年3月23日加推10#楼
中天优诗美地,http://youshimeidizt.fang.com/,清河区,珠海路1号（翔宇大道与珠海路交叉处）,7000,元/平方米,按揭96折,2013年10月一期9#楼已开盘
左岸王府,http://zuoanwangfu.fang.com/,淮阴区,南昌路与滨河路交汇处,4250,元/平方米,交5千抵2万,预计2015年8月推5#楼
欣明文锦城,http://xinmingwenjincheng.fang.com/,淮安区,淮安区翔宇大道1295号(红军小学正对面),4700,元/平方米,购房减1万,2015年1月加推B4号楼
英祥承德公馆,http://chengdegongguanyx.fang.com/,淮阴区,承德北路与珠江路交汇处,4300,元/平方米,全款97按揭98,2015年2月加推二期11#楼
友创健康城,http://litianshangchengyc.fang.com/,清浦区,柯山路56号,4000,元/平方米,全款97折,2014年10月27日加推2#楼
联众光辉乾城,http://guanghuiqianchenglz.fang.com/,淮阴区,黄河东路85号,5300,元/平方米,首付3万,2015年1月加推二期2#楼
茂华国际汇,http://guojihuimaohua.fang.com/,清河区,南昌路东水渡口大道南侧,5800,元/平方米,全款减100/㎡,2013年5月18日1#2#5#开盘
华德力运河城,http://yunhechenghdl.fang.com/,清浦区,淮海南路188号,4200,元/平方米,全款98按揭99,预计2015-4月中旬
五洲龙湾,http://wuzhoulongwan.fang.com/,淮阴区,黄河西路16号（黄河路与北京路交汇处）,5200,元/平方米,1万抵4万,2014年6月29日加推28-31号
金辉天鹅湾,http://jinhuitianewan0517.fang.com/,淮阴区,承德路东侧，长江东路南侧,4600,元/平方米,购房96折,2014年8月30日加推10#楼
北京如意国际花园,http://beijingruyiguojihuayuan.fang.com/,淮阴区,北京北路506号,5700,元/平方米,4800元/平起,2015年2月加推二期1#3#
亿丰时代广场,http://yifengshidaiguangchang2.fang.com/,开发区,迎宾大道1号（翔宇大道东侧、迎宾大道南侧）,4600,元/平方米,交2万抵5万,2012年9月16日已开盘
绿地世纪城,http://shijichengld0517.fang.com/,清河区,翔宇南道9号,4200,元/平方米,交1万享9折,2015年6月加推A区188#B区193#
亿力未来城,http://weilaichengyili.fang.com/,清河区,翔宇中道118号（翔宇大道国际会展中心旁）,5750,元/平方米,购房享94折,2014年6月15日二期加推30#32#楼
水韵天成,http://shuiyuntiancheng0517.fang.com/,清河区,和平路9号（圩北路东北侧）,6700,元/平方米,全款95按揭97,2015-05-24
中南世纪锦城,http://shijijinchengzhongnan.fang.com/,清河区,翔宇南道100号（翔宇大道西侧、怡园路南侧）,4750,元/平方米,总价减4万,2015-03-21加推17#
福晟钱隆城,http://qianlongchengfs0517.fang.com/,清河区,生态新城富城路28号,4000,元/平方米,3#楼0首付,预计2015年6月中旬15号楼加推
中交香滨国际,http://xiangbinguojizj.fang.com/,清河区,乐善路西、白云路南侧（白云路与万瑞路交汇处）,4800,元/平方米,首付2元,2015年3月28日 一期开盘
金奥国际中心,http://jinaoguojizhongxin.fang.com/,清河区,生态新城福地路与凤里路交叉口,5500,元/平方米,无优惠,2015-04-18推出1#、8#、9#
香格里拉花园,http://xianggelilahuayuan0517.fang.com/,清河区,水渡口大道28号（钵池山公园北侧）,5500,元/平方米,每平减七百,2014年5月1日加推5#11#17#20#
中天翡丽湾,http://feiliwanzt.fang.com/,清河区,清河翔宇南道99号（翔宇大道东侧、乌纱干渠北侧）,4800,元/平方米,首付3.3万起,2014年4月19 日加推11#12#楼
恒大名都,http://mingduhengda.fang.com/,清浦区,北京南路99号（清浦大桥南侧200米，小区大门北侧）,4700,元/平方米,首付1万起,2015年2月8日加推21号楼
建华观园,http://jianhuaguanyuan.fang.com/,清河区,生态新城森林公园北侧（承恩大道和海天路交汇处）,4600,元/平方米,5千抵3万,2014年9月6日1#2#4#楼首次开盘
金圆幸福城,http://xingfuchengjy.fang.com/,淮阴区,承德北路528号（承德北路与淮涟路交汇处）,5000,元/平方米,交1千抵1万,预计2015年7月1#楼开盘
融侨华府,http://rongqiaohuafu0517.fang.com/,清河区,水渡口大道99号,5000,元/平方米,满400减100,2014年11月中旬7#加推
金河国际花苑,http://guojihuayuanjh.fang.com/,清河区,西安路和上海路交汇处,4500,元/平方米,折后均价4500,2013年3月28日2#楼已开盘
广城尚书房,http://shangshufanggc.fang.com/,淮阴区,淮州中学东侧、长江西路北侧（新淮州附近）,4500,元/平方米,交1万抵2万,2015年2月推23-26#多层
荣鑫花苑,http://rongxinhuayuan0517.fang.com/,淮阴区,西安北路618号（西安北路与纬三路的交汇处）,4400,元/平方米,特价房3188,2015年2月8日加推1#楼
东城佳园,http://newhouse.huaian.fang.com/house/1826682978.htm,开发区,广州北路2号,3950,元/平方米,特价房,2013年1月2#13#14#已开盘
城开国际街区,http://guojijiequck.fang.com/,清浦区,淮海南路518号（淮海南路与横二路交汇处）,3200,元/平方米,2千抵1万,2012年11月25日一期已开盘
和达雅苑,http://hedayayuan.fang.com/,清河区,水渡口大道与合肥路交汇处,4200,元/平方米,全款89折,2011年7月3日一期已开盘
颐景雅苑,http://yijingyayuan.fang.com/,清浦区,天津路东侧延安东路北侧,5300,元/平方米,每平减200元,2010年12月28日一期已开盘
世纪佳苑,http://newhouse.huaian.fang.com/house/1826824024.htm,淮安区,关天培路北侧，经九路东侧,4680,元/平方米,总价减5千起,2006年12月一期已开盘
海润广场,http://hairunfengjingjiayuan.fang.com/,清浦区,淮海南路180号,4800,元/平方米,全款97按揭99,2013年5月26日一期已开盘
福地锦绣华庭,http://jinxiuhuatingfd.fang.com/,开发区,富士康路33号（南京路与青岛路交叉口）,3500,元/平方米,清盘一口价,2012年3月高层已开盘
一号生活大院,http://yihaoshenghuodayuan.fang.com/,清河区,清河路1号,5160,元/平方米,特价房92折,2011年03月25日第2次加推
淮安茂业时代广场,http://newhouse.huaian.fang.com/house/1827044088.htm,清河区,淮海南路,,,无,
报业新城小区,http://baoyexincheng.fang.com/,清浦区,柯山路南侧、勤政路西侧、文化路北侧、通园路东侧,4100,元/平方米,一口价3990,2014-12-22
金色罗马花苑,http://jinseluoma.fang.com/,开发区,明远路北侧、逢桥路东侧,4000,元/平方米,0首付,2014年4月26日加推小高层12#楼
建华玖珑湾,http://jianhuajiulongwan.fang.com/,淮安区,翔宇南道801号（翔宇大道路北侧、淮安森林生态公园东侧）,4800,元/平方米,按揭99折,2013年10月13日14#15#17#开盘
维科格兰公馆,http://gelangongguanwk.fang.com/,开发区,深圳路28号,4500,元/平方米,10套特价房,2014年9月1号4号楼已开盘
东冠逸轩,http://dongguanyixuan.fang.com/,开发区,深圳路5号（深圳路与无锡路交汇处）,5200,元/平方米,全款98按揭99,预计2015年5月30日开盘
蓝天学府,http://lantianxuefu.fang.com/,淮阴区,淮阴区北京东路88号,4800,元/平方米,交一千抵一万,5月首推1、4#共计214套房源
城开御园,http://chengkaiyuyuan.fang.com/villa/,清河区,水渡口大道128号,3800,元/平方米,全款98按揭99,2014-10-18第二次加推
